MIR1256 34.49
YEATS4 63.47
C12orf74 67.19
IGHD1-1 36.12
GNLY 86.93
LINC01799 62.78
MRT8 53.1
RPL9P4 31.44
RAP2A 83.85
MTAPP2 22.99
RPS2P19 42.12
MIR591 27.13
SNX2P2 26.01
RPL18P13 54.24
RPL38 36.32
RPS12P1 35.99
RN7SL228P 55.25
IQCG 25.55
GPR63 67.0
LINC00358 21.92
C9orf43 65.62
MIR4758 62.13
MIR4293 49.7
RNU7-137P 63.11
LINC01841 24.25
C11orf16 31.96
RPL7P17 57.31
RNU6-1222P 49.91
RNU6-227P 14.64
MIR539 34.75
HORMAD1 53.79
RNU7-70P 70.85
FRA2C 78.33
CTAA2 73.24
MIR1185-2 29.44
RHEBP2 49.25
ATAD2 54.01
RPL26P15 30.37
RNU6-1000P 69.13
CHCHD2P7 55.25
PRR5-ARHGAP8 44.62
SVIL-AS1 98.09
CMR1A 69.21
RNVU1-6 59.43
RNU6-1045P 43.96
EEF1GP6 40.1
ZNF616 67.25
MIR1193 63.9
RNU6-1129P 61.72
SHF 44.11
EEF1A1P34 43.63
MIR4691 57.8
LINC01959 26.97
TSPAN11 44.92
INSC 44.82
SYM2 55.83
MIR6862-2 53.74
COIL 32.45
TRAV10 84.66
TMEM106B 43.46
TRIAP1 13.59
MMP25-AS1 64.95
PTH2 67.07
SPDYE17 42.71
ZPBP 58.18
MIRLET7B 55.33
PDCL3P1 23.71
RPS25P6 44.86
PTPN21 48.3
NCL 52.33
RPL17P32 45.26
ADIPOR1P1 57.58
RNU6-1268P 65.67
SNRPCP17 34.44
RN7SL209P 54.41
RANGRF 99.73
RPL31P10 35.56
RPL21P127 85.71
MEOX2-AS1 37.84
SNX18P19 61.67
LINC01362 87.96
MRPS21P2 70.21
RNU6-747P 39.22
TP53I13 42.43
DFNA49 72.33
RPAP3 37.75
HPV18I1 50.23
MIR199B 42.22
SYCP3 37.63
HTN1 40.33
GPC3 59.5
LINC00914 58.48
MTHFSD 38.09
LDLRAD4-AS1 53.59
PHRF1 28.21
RN7SKP151 86.42
LINC01072 38.91
RNU4ATAC4P 45.63
RPS26P53 45.28
LINC02174 49.39
MIR509-2 21.7
LINC01634 48.54
ZNF664 25.75
PFKM 33.29
MRRF 38.64
MIR1243 54.26
SMCR8 78.63
GDF11 54.17
RPL7P21 38.87
LINC01010 36.12
CTSZ 36.24
IGHV3-9 50.61
RNU6-1326P 53.29
RPL32P13 78.33
LRRC14B 50.8
TNIP2 28.0
PRAMEF15 52.27
MAP3K8 60.31
PTS 16.33
RNU6-794P 54.11
FNBP1 25.27
DYX2 69.45
SCARNA18B 65.43
ADNP-AS1 18.95
MIR6828 69.17
GAGE4 45.3
