ZNF837 49.28
MIR1256 34.49
MIR20B 89.41499999999999
YEATS4 63.47
MIR6888 65.66
C12orf74 67.19
IGHD1-1 36.12
GNLY 86.93
LINC01799 62.78
MRT8 53.1
TMEM212 49.959999999999994
RNY1P16 49.31
SEPT11 34.254999999999995
ZNF585A 41.605000000000004
PPA2 53.644999999999996
PTCSC2 58.91
RPL9P4 31.44
RAP2A 83.85
RPL5P17 47.61
RNU6-1271P 49.57000000000001
RN7SL632P 74.67
MIATNB 64.89
RNU7-136P 40.04
MIR6854 61.35
MTAPP2 22.99
LINC01168 39.94
PTTG1IP 83.23
MSLN 57.44
RPS2P19 42.12
MIR591 27.13
SCFD2 49.59
RNU7-183P 49.629999999999995
SNX2P2 26.01
RPL18P13 54.24
RPL38 36.32
RPS12P1 35.99
RN7SL228P 55.25
ABT1 45.06
IQCG 25.55
GPR63 67.0
LINC00358 21.92
C9orf43 65.62
MIR4758 62.13
MIR4293 49.7
RN7SL860P 64.065
MRPL9 56.53
MTNR1B 19.17
RNU7-137P 63.11
LINC01841 24.25
STX12 67.50999999999999
C11orf16 31.96
RPL7P17 57.31
SUMF2 52.375
ANGPT2 32.91
PYURF 42.120000000000005
PIRC22 41.405
CES1P2 60.65
RNU6-1222P 49.91
CIB3 45.59
RNU6-227P 14.64
MIR539 34.75
HORMAD1 53.79
KRT16P2 25.935000000000002
RNU7-70P 70.85
LCE1F 42.355000000000004
FRA2C 78.33
RPL10P14 63.845
CTAA2 73.24
MIR1185-2 29.44
RHEBP2 49.25
HNRNPA3P9 54.785
ATAD2 54.01
IGKV1D-33 55.56
FRA3A 86.78999999999999
LINC01523 37.39
RPL26P15 30.37
TSPAN2 50.56
PGM5 39.22
RNU6-1000P 69.13
GAPDHP55 20.115000000000002
LINC01176 66.21
CHCHD2P7 55.25
PRR5-ARHGAP8 44.62
SVIL-AS1 98.09
CMR1A 69.21
EVR3 36.43
PEX12P1 58.495000000000005
RNVU1-6 59.43
RNU6-1045P 43.96
EEF1GP6 40.1
ZNF616 67.25
MIR1193 63.9
RN7SL253P 50.51
RNU6-1129P 61.72
MLECP1 35.91
SHF 44.11
EEF1A1P34 43.63
RNU6-410P 30.2
PSMD6-AS1 77.39500000000001
MIR4691 57.8
LINC01959 26.97
TSPAN11 44.92
INSC 44.82
SYM2 55.83
MIR6862-2 53.74
GSM1 71.69500000000001
RN7SL480P 25.299999999999997
MIR1262 60.004999999999995
COIL 32.45
TRAV10 84.66
PIRC47 26.525
TMEM106B 43.46
RN7SL853P 43.515
RNU6-1116P 53.855000000000004
TRIAP1 13.59
MMP25-AS1 64.95
PTH2 67.07
RPS2 61.99
CDC42P2 79.13
LINC00843 36.620000000000005
RPS7P14 46.995000000000005
ADORA3 43.555
SPDYE17 42.71
ZPBP 58.18
MIRLET7B 55.33
PDCL3P1 23.71
LINC02108 33.76
RPS25P6 44.86
PTPN21 48.3
NCL 52.33
RPL7P57 40.44
RPL17P32 45.26
ADIPOR1P1 57.58
CNTFR-AS1 53.705
RNU6-1268P 65.67
SNRPCP17 34.44
RNU6-351P 30.06
RN7SL209P 54.41
RANGRF 99.73
FRA10G 67.45
GGTLC3 45.22
RPL23AP95 75.655
MIC12 76.6
OSM 57.730000000000004
SCCPDH 65.955
RPL31P10 35.56
RNU2-57P 60.66
HTN3 50.8
KRTAP10-2 51.585
RN7SL415P 45.715
RPL21P127 85.71
MEOX2-AS1 37.84
UTF1 42.885
SNX18P19 61.67
LINC01362 87.96
MRPS21P2 70.21
RNU6-747P 39.22
GLTSCR2-AS1 21.975
LINC00681 51.345
TP53I13 42.43
DFNA49 72.33
KIF26B 72.31
LINC01877 49.09
RPAP3 37.75
GLC1P 49.544999999999995
HPV18I1 50.23
MIR199B 42.22
SYCP3 37.63
HTN1 40.33
BTF3P16 61.99
GPC3 59.5
LINC00914 58.48
RAB14 59.824999999999996
MTHFSD 38.09
PCNPP5 53.08
MIR4763 48.09
LDLRAD4-AS1 53.59
LRRC47 64.61500000000001
MIR4724 56.99
GDF9 50.394999999999996
MIR4435-2 49.29
